Excel Column Header,Destination Table and Field,Loading,Missing,Corrected,,fixed Oxford_A_Basement_Structural,,,,,,,,
Plan,TblPlans.PlanName,TRUE,,FALSE,,,,,,Table,Filtered by,Groupby,Groupby,Aggregate
Elevation,TblPlanElevations.ElevationName,TRUE,Version Date,FALSE,,,,,,Takeoffs ,Plan/Elevation/Option,Cost Group,CostCode,Sum-Extended price
Foundation,TblPlanElevations.Foundation,TRUE,,FALSE,Needs to be changed to go to TblPlanElevations.Foundation,,,,,,,,,
JobName,TblJobs.JobName,TRUE,,FALSE,,,,,,costcode,costcode,cost group,,
PlanElevOption,TblPlanElevationOptions.PlanOptionName,FALSE,,FALSE,,,,,,,,,,
OptionName,TblPlanElevationOptions.OptionName,FALSE,,FALSE,,,,,,cost group,cost group,,,
OptionDescription,TblPlanElevationOptions.Description,FALSE,,FALSE,,,,,,,,,,
Vendor,TblVendors.VendorName,FALSE,,FALSE,,,,,,division,division,,,
CostGroupName,TblCostGroups.CostGroupName,FALSE,,FALSE,,,,,,,,,,
CostCodeDescription,TblCostCodes.CostCodeDescription,FALSE,,FALSE,,,,,,Nieghborhoods,,communities,,
CostCodeNumber,TblCostCodes.CostCode,FALSE,,FALSE,,,,,,,,,,
Item,TblItems.ItemName,FALSE,,FALSE,,,,,,,,,,
ItemDescription,TblProducts.Description,FALSE,,FALSE,currently going to TblProduct.ProductName,,,,,,,,,
QtyType,TblItems.ItemType,FALSE,,FALSE,,,,,,,,,,
QTY,TblTakeoffs.Quantity,FALSE,,FALSE,,,,,,,,,,
JobPlanElevOption,TblJobs.PlanElevOptionName,FALSE,,FALSE,,,,,,,,,,
TakeoffID,tblTakeoffs.takeoffID,FALSE,,FALSE,,,,,,,,,,
ExtendedPrice,TblTakeoffs.ExtendedPrice,FALSE,,FALSE,,,,,,,,,,
Notes,TblTakeoffs.Notes,FALSE,,FALSE,,,,,,,,,,
Room,"TblRooms.RoomName (not used directly, but could be)",FALSE,,FALSE,,,,,,,,,,
AttributeLevel,tblitemattributes.level,FALSE,,FALSE,,,,,,,,,,
Model,TblAttributes.Model,FALSE,,FALSE,,,,,,,,,,
Division,TbleDivisions.DivisionName,FALSE,,FALSE,migration needs to be added,,,,,,,,,
Community,TblDivisions.CommunityName,FALSE,,FALSE,Table and migration needs to be added,,,,,,,,,
PlanFullName,TblPlanElevations.PlanFullName,FALSE,,FALSE,migration needs to added,,,,,,,,,
VersionNumber,TblPlanElevations.VersionNumber,FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
VersionDate,TblPlanElevations.VersionDate,FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
IsCurrentVersion,TblPlanElevations.IsCurrentVersion,FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
Architect,TblPlans.Architect,FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
Engineer,TblPlans.IsEngineer,FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
StairCount,TblPlanElevationOptions.StairCount,FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
HeatedSF(InsideStuds),TblPlanElevationOptions.HeatedSF(InsideStuds),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
HeatedSF(OutsideStuds),TblPlanElevationOptions.HeatedSF(OutsideStuds),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
HeatedSF(OutsideVeneer),TblPlanElevationOptions.HeatedSF(OutsideVeneer),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
UnHeatedSF(InsideStuds),TblPlanElevationOptions.UnHeatedSF(InsideStuds),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
UnHeatedSF(OutsideStuds),TblPlanElevationOptions.UnHeatedSF(OutsideStuds),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
UnHeatedSF(OutsideVeneer),TblPlanElevationOptions.UnHeatedSF(OutsideVeneer),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
TotalSF(InsideStuds),TblPlanElevationOptions.TotalSF(InsideStuds),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
TotalSF(OutsideStuds),TblPlanElevationOptions.TotalSF(OutsideStuds),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
TotalSF(OutsideVeneer),TblPlanElevationOptions.TotalSF(OutsideVeneer),FALSE,,FALSE,Field and migration needs to be added,,,,,,,,,
SpecName,TblSpecifications.SpecificationName,FALSE,,FALSE,Table and migration needs to be added,,,,,,,,,
SpecDescription,TblSpecifications.SpecificationDescription,FALSE,,FALSE,Table and migration needs to be added,,,,,,,,,
SpecLevel,TblSpecifications.SpecificationLevel,FALSE,,FALSE,Table and migration needs to be added,,,,,,,,,
IsHeated,TblRooms.IsHeated,FALSE,,FALSE,Field and migration need to be added,,,,,,,,,
FloorLevel,TblRooms.FLoorLevel,FALSE,,FALSE,Field and migration need to be added,,,,,,,,,
UoM,TblVendorPricingHistory.Uom,FALSE,,FALSE,Currently migrating to TblTakeoffs,,,,,,,,,
Factor,TblVendorPricingHistory.PriceFactor,FALSE,,FALSE,Migration needs to be added,,,,,,,,,
Price,TblVendorPricingHistory.Price,FALSE,,FALSE,Currently migrating to TblTakeoffs,,,,,,,,,
OptionType,TblPlanElevationOptions.OptionType,FALSE,,FALSE,Field and migration need to be added,,,,,,,,,
Beds,TblPlanElevationOptions.bedroomcount,FALSE,,FALSE,Migration needs to be added,,,,,,,,,
Baths,TblPlanElevationOptions.bathroomcount,FALSE,,FALSE,Migration needs to be added,,,,,,,,,
QTYFormula,TblItems.QTYFormula,FALSE,,FALSE,Field and migration need to be added,,,,,,,,,
TakeoffType,TblItems.TakeoffType,FALSE,,FALSE,Field and migration need to be added,,,,,,,,,
CostGroup,tblcostgroup.costgroup,FALSE,,FALSE,,,,,,,,,,
